行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード,豆知識(歴史),豆知識(有名なもの)
"01000","北海道","","ﾎｯｶｲﾄﾞｳ","","TRUE","01","",""
"01100","北海道","札幌市","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼ","FALSE","01","定山渓の「かっぱ淵」では、釣りをしていた青年が川底へ消え、一年後に父の夢枕へ現れて「河童の妻子と幸せに暮らしている」と告げたという。実はこの伝説と名称は、古老から水難の話を聞いた札幌出身の漫画家・おおば比呂司が1965年に創作したもの。二見公園周辺には河童像が点在し、かっぱは現在も温泉街の象徴になった。","大通公園、札幌市時計台、北海道庁赤れんが庁舎、さっぽろテレビ塔、すすきのが中心部の定番。時計台は1878年築の旧札幌農学校演武場で、1881年設置の米国製時計が今も毎正時に鳴る。郊外には大倉山ジャンプ競技場、藻岩山、イサム・ノグチ設計のモエレ沼公園、白い恋人の製造見学や菓子作りができる白い恋人パークもある。"
"01101","北海道","札幌市中央区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","FALSE","01","北海道神宮の開拓神社には、開拓功労者を祀る石碑や銅像が並び、円山周辺では原始林を守る神域と都市が接する。すすきのの名は茅野説と遊郭工事監督・薄井龍之説があり、狸小路の狸も動物説と遊女を指した隠語説が伝わる。この由来や背景は札幌市中央区の郷土資料にも記録され、大通公園や時計台を巡る際に地域の成り立ちを重ねて理解できる。","大通公園、時計台、赤れんが庁舎、テレビ塔、狸小路、すすきの、二条市場。円山動物園、北海道神宮、藻岩山ロープウェイも区内で、札幌市資料館は旧札幌控訴院の石造建築を公開する。大通公園と時計台を含む札幌市中央区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市中央区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01102","北海道","札幌市北区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼｷﾀｸ","FALSE","01","特に広く知られた都市伝説は確認できない。篠路はアイヌ語の「シノオロオ（川が本流へ入る所）」などに由来するとされ、屯田兵村の兵屋が残る。北海道大学構内には札幌農学校時代の古河記念講堂や第二農場があり、偕楽園跡には清華亭が開拓期の姿を伝える。この由来や背景は札幌市北区の郷土資料にも記録され、北海道大学のイチョウ並木やポプラ並木を巡る際に地域の成り立ちを重ねて理解できる。","北海道大学のイチョウ並木、ポプラ並木、総合博物館、重要文化財の第二農場。百合が原公園では世界のユリやリリートレイン、屯田兵資料館では琴似に次いで置かれた篠路兵村の歴史を見られる。北海道大学のイチョウ並木とポプラ並木を含む札幌市北区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市北区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01103","北海道","札幌市東区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾋｶﾞｼｸ","FALSE","01","特に広く知られた都市伝説は確認できない。幕末の1866年、大友亀太郎が御手作場を開くため掘った大友堀は創成川の原型になった。札幌村は日本のタマネギ栽培発祥地の一つで、札幌黄が育成された。丘珠の名はアイヌ語「オッカイ・シ・ペッ」など諸説ある。この由来や背景は札幌市東区の郷土資料にも記録され、モエレ沼公園やサッポロビール博物館を巡る際に地域の成り立ちを重ねて理解できる。","モエレ沼公園はイサム・ノグチが全体を一つの彫刻として設計。サッポロビール博物館、北海道鉄道技術館、札幌村郷土記念館、丘珠空港、サッポロさとらんどを巡ると工業・農業・交通史がつながる。モエレ沼公園とサッポロビール博物館を含む札幌市東区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市東区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01104","北海道","札幌市白石区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼｼﾛｲｼｸ","FALSE","01","特に広く知られた都市伝説は確認できない。1871年、戊辰戦争後に仙台藩白石城主片倉家の旧臣らが移住し、郷里の名から白石村が生まれた。1882年に見つかった良質な粘土で焼いたレンガは北海道庁赤れんが庁舎やビール工場、東京駅にも使われた。この由来や背景は札幌市白石区の郷土資料にも記録され、白石神社やアサヒビール北海道工場跡周辺を巡る際に地域の成り立ちを重ねて理解できる。","白石神社、アサヒビール北海道工場跡周辺、旧国鉄東札幌駅の歴史を示す標柱、白石こころーど。川下公園には世界のライラック約200種を集めたライラックの森があり、春は桜も続く。白石神社とアサヒビール北海道工場跡周辺を含む札幌市白石区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市白石区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01105","北海道","札幌市豊平区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ","FALSE","01","特に広く知られた都市伝説は確認できない。月寒はアイヌ語「チ・キサ・プ」などを語源とし、開拓期には札幌本府へ木材を運ぶ道が通った。平岸はリンゴ栽培で発展し、今も環状通中央分離帯約1.1キロにリンゴ並木が残る。福住は旧名「六軒村」から改称された。この由来や背景は札幌市豊平区の郷土資料にも記録され、大和ハウス プレミストドーム（札幌ドーム）や羊ヶ丘展望台を巡る際に地域の成り立ちを重ねて理解できる。","大和ハウス プレミストドーム（札幌ドーム）、羊ヶ丘展望台、クラーク像、八紘学園農産物直売所、天神山緑地。月寒あんぱんは旧陸軍の携行食にも用いられ、月寒公園ではボートやロング滑り台、冬の歩くスキーを楽しめる。大和ハウス プレミストドーム（札幌ドーム）と羊ヶ丘展望台を含む札幌市豊平区の観光案内では、営業日、旬、体験予約の情報を確認できる。"
"01106","北海道","札幌市南区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾐﾅﾐｸ","FALSE","01","豊平川沿いの「おいらん淵」は、明治末にすすきの遊郭で働く女性が崖から身を投げたという伝説を持つ。定山渓のかっぱ淵には川へ消えた青年が河童の家族と暮らす話もあり、温泉街には表情の異なる河童像が並ぶ。この由来や背景は札幌市南区の郷土資料にも記録され、定山渓温泉や豊平峡ダムを巡る際に地域の成り立ちを重ねて理解できる。","定山渓温泉、豊平峡ダム、札幌芸術の森、滝野すずらん丘陵公園、札幌国際スキー場。藻岩山頂から夜景を望め、札幌市アイヌ文化交流センターでは展示と体験を通して生活文化を学べる。定山渓温泉と豊平峡ダムを含む札幌市南区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市南区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01107","北海道","札幌市西区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾆｼｸ","FALSE","01","特に広く知られた都市伝説は確認できない。琴似には1875年、北海道最初の屯田兵198戸が入植し、琴似屯田兵村兵屋が残る。発寒はアイヌ語「ハチャム・ペッ」に由来する説があり、発寒神社境内では古墳時代末期とみられる札幌市内最大級の環状石垣墓が見つかった。この由来や背景は札幌市西区の郷土資料にも記録され、白い恋人パークや五天山公園を巡る際に地域の成り立ちを重ねて理解できる。","白い恋人パークでは菓子の製造見学と菓子作り、五天山公園では炊事広場やパークゴルフを楽しめる。琴似屯田兵村兵屋、三角山、農試公園、発寒河畔公園、西野神社も区内にある。白い恋人パークと五天山公園を含む札幌市西区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市西区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
"01108","北海道","札幌市厚別区","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ","FALSE","01","特に広く知られた都市伝説は確認できない。厚別一帯の開拓は1882年、札幌と幌内炭鉱を結ぶ鉄道開通を機に進んだ。野幌はアイヌ語「ヌプ・オル・オ・ペッ（野の中の川）」に由来するとされ、釣橋には湿地に割り板を敷いて通った記憶が残る。この由来や背景は札幌市厚別区の郷土資料にも記録され、北海道開拓の村や北海道博物館を巡る際に地域の成り立ちを重ねて理解できる。","北海道開拓の村では明治・大正・昭和初期の建物を移築復元し、北海道博物館では自然史からアイヌ文化、開拓史まで展示。新札幌の水族館・科学館、野幌森林公園、百年記念塔跡地も近い。北海道開拓の村と北海道博物館を含む札幌市厚別区の観光案内では、営業日、旬、体験予約の情報を確認できる。札幌市厚別区は季節で見頃が変わり、地域の催しと特産品も時期を合わせて楽しめる。"
